;;  ;
No. Mata;Uraian;Satuan; Harga 
Pembayaran;;; Satuan 
;;; (Rupiah) 
A;b;c; e 
;;;
7.1 (5a);Beton struktur, fc’30 MPa;M3; 2.613.592,24 
7.1 (5a) v.2;Beton struktur, fc’30 Mpa (Variasi 2);M3; 3.401.198,94 
7.1 (5a) v.3;Beton struktur, fc’30 Mpa (Variasi 3);M3; 2.391.451,04 
7.1 (5a) v.4;Beton struktur fc’ 30 MPa (Pekerjaan Pelat Lantai);M3;
7.1 (5b);Beton struktur bervolome besar, fc'30 MPa;M3; 2.892.814,41 
7.1 (5c);Beton struktur memadat sendiri, fc'30 MPa;M3; 2.230.119,91 
7.1 (6a);Beton struktur, fc’25 Mpa;M3; 2.729.241,80 
7.1 (6b);Beton struktur bervolume besar, fc’25 Mpa;M3; 2.836.709,45 
7.1 (6c);Beton struktur memadat sendiri, fc’25 Mpa;M3; 2.717.078,55 
7.1 (7a);Beton strukur, fc’20 MPa ;M3; 2.185.776,24 
7.1 (7a) v.2;Beton strukur, fc’20 MPa (Variasi 2);M3; 2.228.262,53 
7.1 (7a) v.3;Beton strukur, fc’20 MPa (Variasi 3);M3; 1.588.803,37 
7.1 (7b);Beton strukur bervolume besar, fc’20 MPa ;M3; 3.489.806,11 
7.1 (7c);Beton strukur memadat sendiri, fc’20 MPa ;M3; 3.195.442,74 
7.1 (7d);Beton strukur, fc’20 MPa yang dilaksanakan di air;M3; 2.845.941,79 
7.1 (8);Beton , fc’15 Mpa;M3; 2.049.894,95 
7.1 (9);Beton Siklop, fc’15 Mpa;M3; 1.401.363,92 
7.1 (10);Beton, fc’10 Mpa;M3; 1.876.839,03 
7.1 (10) v.2;Beton, fc’10 MPa (Variasi 2);M3; 1.529.636,30 
7.2 (1a);Penyediaan Unit Pracetak Gelagar Tipe I Bentang 16 meter;Buah; 105.656.597,73 
