dd2_row_index,dd2_road_name_raw,dd2_normalized_key,canonical_road_name,canonical_road_key,match_method,confidence_or_reason,notes
143,Malilingin - Lokbahan - Paniungan,malilingin - lokbahan - paniungan,Malilingin - Lokbahan - Paniungan,malilingin - lokbahan - paniungan,direct,,
144,Mawangi - Bukuanin - Telaga Langsat,mawangi - bukuanin - telaga langsat,Mawangi - Bukuanin - Telaga Langsat,mawangi - bukuanin - telaga langsat,direct,,
145,Mandapai - Madang,mandapai - madang,Mandapai - Madang,mandapai - madang,direct,,
146,Kaliring - Sp. Padang Batung,kaliring - sp padang batung,Kaliring - Sp. Padang Batung,kaliring - sp padang batung,direct,,
147,Pagar  Haur - Malutu,pagar haur - malutu,Pagar  Haur - Malutu,pagar haur - malutu,direct,,
148,Simpang Malutu - Pahampangan,sp malutu - pahampangan,Simpang Malutu - Pahampangan,sp malutu - pahampangan,direct,,
149,Simpang Malutu - Tambak,sp malutu - tambak,Simpang Malutu - Tambak,sp malutu - tambak,direct,,
150,Pagat Batu - Muara Hariang,pagat batu - muara hariang,Pagat Batu - Muara Hariang,pagat batu - muara hariang,direct,,
151,Paku (Jambu Hulu) - Ganda,paku jambu hulu - ganda,Paku (Jambu Hulu) - Ganda,paku jambu hulu - ganda,direct,,
152,Sp.3 Bukuanin - Riam Talo,sp 3 bukuanin - riam talo,Sp.3 Bukuanin - Riam Talo,sp 3 bukuanin - riam talo,direct,,
153,Sp.3 Bukuanin - Tayub,sp 3 bukuanin - tayub,Sp.3 Bukuanin - Tayub,sp 3 bukuanin - tayub,direct,,
154,Madang - Ambutun,madang - ambutun,Madang - Ambutun,madang - ambutun,direct,,
155,Jl. Monumen 17 Mei - Mandapai,monumen 17 mei - mandapai,Monumen 17 Mei - Mandapai,monumen 17 mei - mandapai,direct,,
156,Batu Laki - Muara Pipii,batu laki - muara pipii,Batu Laki - Muara Pipii,batu laki - muara pipii,direct,,
157,Muara Pipii - Tambak Pipii,muara pipii - tambak pipii,Muara Pipii - Tambak Pipii,muara pipii - tambak pipii,direct,,
158,Tambak Pipii - Malilingin,tambak pipii - malilingin,Tambak Pipii - Malilingin,tambak pipii - malilingin,direct,,
159,Malilingin - Muara Hariang,malilingin - muara hariang,Malilingin - Muara Hariang,malilingin - muara hariang,direct,,
160,Mawangi - Pariangan,mawangi - pariangan,Mawangi - Pariangan,mawangi - pariangan,direct,,
161,Jambu Hulu - Paku Pantai,jambu hulu - paku pantai,Jambu Hulu - Paku Pantai,jambu hulu - paku pantai,direct,,
162,Sungai Minting - Ds. Malutu,sei minting - desa malutu,Sungai Minting - Ds. Malutu,sei minting - desa malutu,direct,,
163,Padang Rasau (Tambak Tamiang) - Paku Pantai,padang rasau tambak tamiang - paku pantai,Padang Rasau (Tambak Tamiang) - Paku Pantai,padang rasau tambak tamiang - paku pantai,direct,,
164,Jl. Galuntang Tayub - Ds. Madang,galuntang tayub - desa madang,Galuntang Tayub - Ds. Madang,galuntang tayub - desa madang,direct,,
165,Jl. Menuju SMPN Malilingin,menuju smpn malilingin,Menuju SMPN Malilingin,menuju smpn malilingin,direct,,
166,Jl. Samping Mesjid Mandapai,samping mesjid mandapai,Samping Mesjid Mandapai,samping mesjid mandapai,direct,,
167,Muara Hariang - Bayumbung,muara hariang - bayumbung,Muara Hariang - Bayumbung,muara hariang - bayumbung,direct,,
168,Tambak Pipii - Batu Ampar,tambak pipii - batu ampar,Tambak Pipii - Batu Ampar,tambak pipii - batu ampar,direct,,
169,Bakarung - Rantauan,bakarung - rantauan,Bakarung - Rantauan,bakarung - rantauan,direct,,
170,Taniran Selatan - Rantauan,taniran selatan - rantauan,Taniran Selatan - Rantauan,taniran selatan - rantauan,direct,,
171,Bakarung -Tabihi - Karang Jawa,bakarung - tabihi - karang jawa,Bakarung -Tabihi - Karang Jawa,bakarung - tabihi - karang jawa,direct,,
172,Pandulangan - Kalinduku,pandulangan - kalinduku,Pandulangan - Kalinduku,pandulangan - kalinduku,direct,,
173,Taniran Selatan Kubah - Buntut Taniran / Wawaran,taniran selatan kubah - buntut taniran wawaran,Taniran Selatan Kubah - Buntut Taniran / Wawaran,taniran selatan kubah - buntut taniran wawaran,direct,,
174,Angkinang Selatan - Tawia - Wawaran,angkinang selatan - tawia - wawaran,Angkinang Selatan - Tawia - Wawaran,angkinang selatan - tawia - wawaran,direct,,
175,Tawia - Kayu Abang,tawia - kayu abang,Tawia - Kayu Abang,tawia - kayu abang,direct,,
176,Bamban Selatan - Tanggang - Panggang Hijau,bamban selatan - tanggang - panggang hijau,Bamban Selatan - Tanggang - Panggang Hijau,bamban selatan - tanggang - panggang hijau,direct,,
177,Angkinang - Telaga Langsat,angkinang - telaga langsat,Angkinang - Telaga Langsat,angkinang - telaga langsat,direct,,
178,Bamban Selatan - Pakuan,bamban selatan - pakuan,Bamban Selatan - Pakuan,bamban selatan - pakuan,direct,,
179,Bamban Utara - Longawang,bamban utara - longawang,Bamban Utara - Longawang,bamban utara - longawang,direct,,
180,Angkinang - Kayu Abang - Panggang Hijau,angkinang - kayu abang - panggang hijau,Angkinang - Kayu Abang - Panggang Hijau,angkinang - kayu abang - panggang hijau,direct,,
181,Sp. Mandampa Tel. Sili-Sili - Sp. Sei. Bungur,sp mandampa tel sili - sili - sp sei bungur,Sp. Mandampa Tel. Sili-Sili - Sp. Sei. Bungur,sp mandampa tel sili - sili - sp sei bungur,direct,,
182,Sungai Kudung - Kalinduku,sei kudung - kalinduku,Sungai Kudung - Kalinduku,sei kudung - kalinduku,direct,,
183,Bamban Tengah - Lok Nyiur,bamban tengah - lok nyiur,Bamban Tengah - Lok Nyiur,bamban tengah - lok nyiur,direct,,
184,Sp. Bakarung Selatan - Sungai Kudung,sp bakarung selatan - sei kudung,Sp. Bakarung Selatan - Sungai Kudung,sp bakarung selatan - sei kudung,direct,,
185,Panggang Hijau - Ds. Tawar,panggang hijau - desa tawar,Panggang Hijau - Ds. Tawar,panggang hijau - desa tawar,direct,,
186,Taniran Tengah - Taniran Selatan,taniran tengah - taniran selatan,Taniran Tengah - Taniran Selatan,taniran tengah - taniran selatan,direct,,
187,Jl. Kayu Abang - Ds. Anjiran,kayu abang - desa anjiran,Kayu Abang - Ds. Anjiran,kayu abang - desa anjiran,direct,,
188,Jl. Rel Angkinang - TMMD Angkinang,rel angkinang,Rel Angkinang - TMMD Angkinang,rel angkinang,direct,,
189,Jl. AMD - Ds. Lok Binuang,amd - desa lok binuang,AMD - Ds. Lok Binuang,amd - desa lok binuang,direct,,
190,Jl. Pandan Sari - Ds. Angkinang,pandan sari - desa angkinang,Pandan Sari - Ds. Angkinang,pandan sari - desa angkinang,direct,,
191,Bamban Selatan - Pakuan Balunan,bamban selatan - pakuan balunan,Bamban Selatan - Pakuan Balunan,bamban selatan - pakuan balunan,direct,,
192,Kayu Abang - Paya,kayu abang - paya,Kayu Abang - Paya,kayu abang - paya,direct,,
193,Bamban (Tibung) - Martajiwa,bamban tibung - martajiwa,Bamban (Tibung) - Martajiwa,bamban tibung - martajiwa,direct,,
194,Rantauan - Sungai Baru (Jl. Pulau),rantauan - sei baru pulau,Rantauan - Sungai Baru (Pulau),rantauan - sei baru pulau,direct,,
195,Telaga Langsat - Pakuan Timur,telaga langsat - pakuan timur,Telaga Langsat - Pakuan Timur,telaga langsat - pakuan timur,direct,,
196,Longawang - Gumbil,longawang - gumbil,Longawang - Gumbil,longawang - gumbil,direct,,
197,Mandampa - Longawang,mandampa - longawang,Mandampa - Longawang,mandampa - longawang,direct,,
198,Gumbil - Masimpan,gumbil - masimpan,Gumbil - Masimpan,gumbil - masimpan,direct,,
199,Hamak Timur - Umpaya,hamak timur - umpaya,Hamak Timur - Umpaya,hamak timur - umpaya,direct,,
200,Hamak - Umbai,hamak - umbai,Hamak - Umbai,hamak - umbai,direct,,
201,Hamak Utara - Samaragi,hamak utara - samaragi,Hamak Utara - Samaragi,hamak utara - samaragi,direct,,
202,Umpaya - Tumarin,umpaya - tumarin,Umpaya - Tumarin,umpaya - tumarin,direct,,
203,Jl. Sungai Durian - Ds. Gumbil,sei durian - desa gumbil,Sungai Durian - Ds. Gumbil,sei durian - desa gumbil,direct,,
204,Pantai Langsat - Umpaya ,pantai langsat - umpaya,Pantai Langsat - Umpaya,pantai langsat - umpaya,direct,,
205,Halayung - Hantarukung,halayung - hantarukung,Halayung - Hantarukung,halayung - hantarukung,direct,,
